DATE&SHIFT,DATE,SHIFT,OPERATOR,DENOMINATION,SERIES, QUANTITY , DRUM NUMBER ,CONTROL NUMBER,X,Y,Z
456641st,7-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL02955A ,01-04a-00001,1,,1
456641st,7-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL02955B ,01-04a-00002,1,,2
456641st,7-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL02955C ,01-04a-00003,1,,3
456641st,7-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03056A ,01-04a-00004,1,,4
456641st,7-Jan-25,1st,DITC,25-SENTIMO,2020,"  50,000 ",,,,,0
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  10,000 ", AL03056B ,01-04a-00005,1,,5
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03056C ,01-04a-00006,1,,6
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03264A ,01-04a-00007,1,,7
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03264B ,01-04a-00008,1,,8
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03264C ,01-04a-00009,1,,9
456651st,8-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03189A ,01-04a-00010,1,,10
456661st,9-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03189B ,01-04a-00011,1,,11
456661st,9-Jan-25,1st,DITC,25-SENTIMO,2020,"  65,000 ", AL03189C ,01-04a-00012,1,,12
456661st,9-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03122A ,01-04a-00013,1,,13
456661st,9-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03122B ,01-04a-00014,1,,14
456661st,9-Jan-25,1st,DITC,25-SENTIMO,2020,"  65,000 ", AL03122C ,01-04a-00015,1,,15
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03001A ,01-04a-00016,1,,16
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03001B ,01-04a-00017,1,,17
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  65,000 ", AL03001C ,01-04a-00018,1,,18
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03159A ,01-04a-00019,1,,19
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03159B ,01-04a-00020,1,,20
456671st,10-Jan-25,1st,DITC,25-SENTIMO,2020,"  15,000 ",,,,,0
456701st,13-Jan-25,1st,DITC,25-SENTIMO,2020,"  50,000 ", AL03159C ,01-04a-00021,1,,21
456701st,13-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03030A ,01-04a-00022,1,,22
456701st,13-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03030B ,01-04a-00023,1,,23
456701st,13-Jan-25,1st,DITC,25-SENTIMO,2020,"  30,000 ",,,,,0
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  40,000 ", AL03030C ,01-04a-00024,1,,24
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03166A ,01-04a-00025,1,,25
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03166B ,01-04a-00026,1,,26
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  65,000 ", AL03166C ,01-04a-00027,1,,27
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  60,000 ", AL03153A ,01-04a-00028,1,,28
456711st,14-Jan-25,1st,DITC,25-SENTIMO,2020,"  30,000 ",,,,,0
456711st OT,14-Jan-25,1st OT,DITC,25-SENTIMO,2020,"  30,000 ", AL03153B ,01-04a-00029,1,,29
456711st OT,14-Jan-25,1st OT,DITC,25-SENTIMO,2020,"  50,000 ",,,,,0
456721st,15-Jan-25,1st,DITC,25-SENTIMO,2020,"  15,000 ", AL03153C ,01-04a-00030,1,,30
